id,title,genres,averageRating,numVotes,releaseYear
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54371,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53606,1989
tt0088484,"Blackadder II",Comedy,8.6,50696,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49584,2016
tt0092324,"Blackadder the Third",Comedy,8.6,47774,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47096,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46720,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45578,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42540,2022
tt5288312,Skam,"Drama, Romance",8.6,39604,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38150,2020
tt9140342,"It's a Sin",Drama,8.6,37867,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37422,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36159,1960
tt0417349,"North & South","Drama, Romance",8.6,35621,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34514,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34021,2003
tt7562112,Pose,Drama,8.6,33696,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32462,2012
tt4647692,Letterkenny,Comedy,8.6,30837,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30246,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29424,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28573,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26502,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26156,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25311,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,23666,2023
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22330,2012
tt4082744,Detectorists,Comedy,8.6,22313,2014
tt0129690,"I'm Alan Partridge",Comedy,8.6,22305,1997
tt0421291,"Avrupa Yakasi",Comedy,8.6,21865,2004
tt2311418,"Isler Güçler",Comedy,8.6,21487,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,21008,2020
tt7278862,"My Brilliant Friend",Drama,8.6,19014,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18845,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18557,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,18042,2020
